iter	Passed	Remaining
0	146	146379
1	148	73978
2	149	49775
3	151	37679
4	152	30407
5	154	25660
6	157	22328
7	159	19727
8	160	17690
9	162	16048
10	163	14709
11	165	13598
12	167	12680
13	171	12050
14	172	11338
15	174	10717
16	175	10174
17	177	9683
18	178	9236
19	180	8833
20	181	8471
21	185	8224
22	188	8006
23	191	7789
24	193	7559
25	196	7343
26	199	7201
27	201	7004
28	203	6810
29	205	6631
30	206	6465
31	208	6306
32	210	6173
33	214	6080
34	216	5967
35	218	5862
36	220	5745
37	222	5629
38	227	5601
39	229	5497
40	230	5397
41	232	5300
42	234	5208
43	235	5117
44	237	5030
45	238	4951
46	240	4882
47	242	4810
48	244	4739
49	245	4670
50	247	4602
51	249	4542
52	250	4483
53	256	4485
54	258	4436
55	259	4382
56	261	4333
57	263	4282
58	265	4236
59	267	4189
60	270	4165
61	272	4120
62	274	4076
63	275	4035
64	277	3996
65	279	3957
66	281	3914
67	285	3908
68	286	3869
69	288	3829
70	289	3790
71	291	3752
72	292	3715
73	294	3680
74	295	3646
75	297	3623
76	300	3596
77	302	3569
78	304	3545
79	306	3520
80	307	3491
81	309	3464
82	310	3429
83	315	3436
84	317	3412
85	318	3386
86	320	3361
87	322	3340
88	324	3316
89	325	3292
90	328	3283
91	330	3265
92	332	3243
93	334	3222
94	336	3201
95	337	3177
96	339	3157
97	340	3136
98	344	3137
99	346	3118
100	348	3100
101	350	3083
102	351	3063
103	353	3042
104	354	3022
105	356	3008
106	358	2993
107	360	2977
108	362	2966
109	364	2952
110	366	2937
111	368	2925
112	374	2936
113	376	2923
114	378	2911
115	380	2897
116	381	2881
117	383	2867
118	387	2866
119	389	2854
120	391	2841
121	392	2825
122	394	2811
123	395	2795
124	397	2780
125	398	2766
126	400	2750
127	402	2745
128	404	2733
129	406	2721
130	408	2706
131	409	2693
132	411	2680
133	412	2667
134	414	2655
135	416	2648
136	418	2639
137	421	2629
138	422	2618
139	424	2606
140	425	2594
141	426	2579
142	428	2567
143	432	2570
144	434	2559
145	435	2548
146	437	2538
147	439	2527
148	440	2517
149	442	2507
150	445	2503
151	447	2497
152	449	2487
153	450	2476
154	452	2465
155	453	2455
156	455	2445
157	456	2434
158	458	2424
159	460	2418
160	461	2405
161	463	2396
162	464	2385
163	466	2375
164	467	2365
165	468	2355
166	470	2345
167	471	2336
168	475	2335
169	476	2327
170	478	2319
171	480	2312
172	481	2303
173	483	2296
